,prev_line,current_line
1785,俺のゴールが…,チッ…
1786,チッ…,これが 勝つってことか
1787,これが 勝つってことか,ああ… なんだよ これ…
1788,ああ… なんだよ これ…,フッ…
1789,フッ…,気持ちいい！
1790,気持ちいい！,チームＺ 第２試合 勝利を祝しまして
1791,チームＺ 第２試合 勝利を祝しまして,かんぱ～い！
1792,かんぱ～い！,かんぱ～い！
1793,かんぱ～い！,久々の肉 うんめ～！
1794,久々の肉 うんめ～！,勝利の味 美味！
1795,勝利の味 美味！,ん～！　うみゃ～ うみゃ～
1796,ん～！　うみゃ～ うみゃ～,だあっ！ 俺と潔がゴールした分の肉だぞ
1797,だあっ！ 俺と潔がゴールした分の肉だぞ,みんなで食うって言ったけど 残しとけよ
1798,みんなで食うって言ったけど 残しとけよ,うみゃ～ ああっ！
1799,うみゃ～ ああっ！,出せ お前！　俺の分！
1800,出せ お前！　俺の分！,はいはい
1801,はいはい,今日は みんな それぞれのおかず 持ち寄りですよ
1802,今日は みんな それぞれのおかず 持ち寄りですよ,いつもと違うもの 食べられるはずだから
1803,いつもと違うもの 食べられるはずだから,ケンカしな～い
1804,ケンカしな～い,おお～！ 給食のおばちゃんかよ
1805,おお～！ 給食のおばちゃんかよ,おっ ギョーザあるじゃん サンマ！
1806,おっ ギョーザあるじゃん サンマ！,納豆も たまにゃ ありだな
1807,納豆も たまにゃ ありだな,俺のたくあんもあるぞ
1808,俺のたくあんもあるぞ,それは別に いらん
1809,それは別に いらん,でもよ よく あの場面で 走り込んでたよな
1810,でもよ よく あの場面で 走り込んでたよな,ギブ… 確かに
1811,ギブ… 確かに,ボール来るって分かってたのか？
1812,ボール来るって分かってたのか？,いやいや そういうわけじゃないけど…
1813,いやいや そういうわけじゃないけど…,自分がゴール 決めるために走ってたら
1814,自分がゴール 決めるために走ってたら,あの辺に こぼれてくるのかなって
1815,あの辺に こぼれてくるのかなって,思っただけで…
1816,思っただけで…,俺は見えてたよ 潔 よく決めました！
1817,俺は見えてたよ 潔 よく決めました！,蜂楽 パス サンキューな
1818,蜂楽 パス サンキューな,はい ご褒美　あ～ん
1819,はい ご褒美　あ～ん,いいよ 自分で食べるから
1820,いいよ 自分で食べるから,そう言わず どうぞ
1821,そう言わず どうぞ,パス！ むうっ…
1822,パス！ むうっ…,なんにせよ 潔の武器は ゴールのにおいが分かるってことだ
1823,なんにせよ 潔の武器は ゴールのにおいが分かるってことだ,そして 潔のゴールで 俺たちは勝てた
1824,そして 潔のゴールで 俺たちは勝てた,それが事実だ
1825,それが事実だ,フンッ 俺は認めてねえし
1826,フンッ 俺は認めてねえし,でも とにかく 俺たちは勝ったんだ
1827,でも とにかく 俺たちは勝ったんだ,絶対 生き残るぞ チームＺ！
1828,絶対 生き残るぞ チームＺ！,おおっ！
1829,おおっ！,もっかい メシ！ あっ これ も～らい！
1830,もっかい メシ！ あっ これ も～らい！,うわあ～ たくあん 勘弁してくだせえ…
1831,うわあ～ たくあん 勘弁してくだせえ…,あ～ もう 最悪
1832,あ～ もう 最悪,つうか まだ興奮して 全然寝れんです！
1833,つうか まだ興奮して 全然寝れんです！,マジで俺が決めて勝ったんだよな
1834,マジで俺が決めて勝ったんだよな,俺のゴールで…
1835,俺のゴールで…,俺が あいつらを潰した
1836,俺が あいつらを潰した,気持ち良かった…
1837,気持ち良かった…,なんなんだろう？　あの感じ 初めての快感だった
1838,なんなんだろう？　あの感じ 初めての快感だった,あ… 俺って 性格悪いのかな？
1839,あ… 俺って 性格悪いのかな？,ヤバいかな
1840,ヤバいかな,あっ…
1841,あっ…,千切(ちぎり)
1842,千切(ちぎり),潔か　何しに来た？
1843,潔か　何しに来た？,いや… 寝れなくて 試合映像でも見ようかなって
1844,いや… 寝れなくて 試合映像でも見ようかなって,お前は？
1845,お前は？,俺も寝れなくて
1846,俺も寝れなくて,お前のゴール見てた
1847,お前のゴール見てた,えっ…
1848,えっ…,そりゃ寝られないよな こんなの決めたら
1849,そりゃ寝られないよな こんなの決めたら,ストライカーとして最高の瞬間だろ
1850,ストライカーとして最高の瞬間だろ,うん　なんつうか その…
1851,うん　なんつうか その…,ブルーロックに来る前の俺だったら
1852,ブルーロックに来る前の俺だったら,絶対 味わえないような ゴールだったから
1853,絶対 味わえないような ゴールだったから,多分 このゴールは 一生 忘れないと思う
1854,多分 このゴールは 一生 忘れないと思う,でも もっかいやれって言われても 無理だな
1855,でも もっかいやれって言われても 無理だな,なんとなく走り込んだだけだし
1856,なんとなく走り込んだだけだし,空間認識能力が 高いんだよ 多分 お前
1857,空間認識能力が 高いんだよ 多分 お前,ん？　何それ？
1858,ん？　何それ？,ほとんどの選手は みんな
1859,ほとんどの選手は みんな,自分の視野から状況を判断して プレーしている
1860,自分の視野から状況を判断して プレーしている,トップスピードで走ってるときとか
1861,トップスピードで走ってるときとか,ボールを持って 動いてるときなんかは
1862,ボールを持って 動いてるときなんかは,視野が もっと狭くなる
1863,視野が もっと狭くなる,でも お前は たまに
1864,でも お前は たまに,フィールド全体を 把握してるみたいに
1865,フィールド全体を 把握してるみたいに,どでかい視野で プレーする瞬間がある
1866,どでかい視野で プレーする瞬間がある,例えるなら…
1867,例えるなら…,空からの神の視点みたいな
1868,空からの神の視点みたいな,その能力が ゴールのにおいを嗅ぎ分けて
1869,その能力が ゴールのにおいを嗅ぎ分けて,ピンチを防いだり
1870,ピンチを防いだり,誰も予想できないゴールを 生んだんだと思う
1871,誰も予想できないゴールを 生んだんだと思う,空間認識能力… それが俺の武器
1872,空間認識能力… それが俺の武器,お前は まだ それを直感でやってるけど
1873,お前は まだ それを直感でやってるけど,もっと意識的に使えるようになれば
1874,もっと意識的に使えるようになれば,その目と脳は 唯一無二の武器になる
1875,その目と脳は 唯一無二の武器になる,と… これ見て思った
1876,と… これ見て思った,フッ…
1877,フッ…,ほえ～ なるほど ありがと 千切
1878,ほえ～ なるほど ありがと 千切,なんか すげえヒントになった気がする
1879,なんか すげえヒントになった気がする,いつも怖い顔してるけど いいヤツだな お前
1880,いつも怖い顔してるけど いいヤツだな お前,別に… チームが勝つために言っただけだし
1881,別に… チームが勝つために言っただけだし,そういや お前の武器って なんなの？
1882,そういや お前の武器って なんなの？,こないだも教えてくれなかったしさ
1883,こないだも教えてくれなかったしさ,だから言ったじゃん 言いたくないって
1884,だから言ったじゃん 言いたくないって,えっ なんで？　教えてよ
1885,えっ なんで？　教えてよ,俺も なんか できることあったら 手伝うし
1886,俺も なんか できることあったら 手伝うし,知りたいよ お前のこと
1887,知りたいよ お前のこと,だから いいんだって 俺の話は もう
1888,だから いいんだって 俺の話は もう,よくないよ　大事なことだろ
1889,よくないよ　大事なことだろ,右膝前十字靱帯(じんたい)断裂
1890,右膝前十字靱帯(じんたい)断裂,１年前 俺はケガをした
1891,１年前 俺はケガをした,医者には
1892,医者には,もう一度 同じ箇所をやったら 選手生命は危ういって言われた
1893,もう一度 同じ箇所をやったら 選手生命は危ういって言われた,俺にもあったんだ 潔
1894,俺にもあったんだ 潔,お前みたいに すごい武器と
1895,お前みたいに すごい武器と,自分のゴールに酔いしれて 眠れない夜と
1896,自分のゴールに酔いしれて 眠れない夜と,世界一のストライカーを 夢見てたときが
1897,世界一のストライカーを 夢見てたときが,でも 治った今でも またケガをするのが怖い
1898,でも 治った今でも またケガをするのが怖い,あんなに気持ち良かったサッカーと 夢を失うのが怖いんだ
1899,あんなに気持ち良かったサッカーと 夢を失うのが怖いんだ,俺は夢を諦める理由を探しに ブルーロックに来た
1900,俺は夢を諦める理由を探しに ブルーロックに来た,潔… お前のゴールを見て 俺は諦められる気がするよ
1901,潔… お前のゴールを見て 俺は諦められる気がするよ,ウソつけ 千切
1902,ウソつけ 千切,人のせいにすんなよ
1903,人のせいにすんなよ,本当は諦めたくないんだろ？
1904,本当は諦めたくないんだろ？,俺だって 一緒だ
1905,俺だって 一緒だ,怖いから… 終わりたくないから戦うんだよ
1906,怖いから… 終わりたくないから戦うんだよ,なくす覚悟のない人間に 夢なんか つかめるわけない！
1907,なくす覚悟のない人間に 夢なんか つかめるわけない！,お前に俺の何が分かんだよ
1908,お前に俺の何が分かんだよ,あっ…
1909,あっ…,そろそろＪＦＵに 経過を報告する時期なんですが
1910,そろそろＪＦＵに 経過を報告する時期なんですが,進捗(しんちょく)はいかがでしょう？
1911,進捗(しんちょく)はいかがでしょう？,絵心さん
1912,絵心さん,ちょっと待って アンリちゃん
1913,ちょっと待って アンリちゃん,今から 至福の時間だから
1914,今から 至福の時間だから,好きですよね 絵心さん そんなのばっかり食べてません？
1915,好きですよね 絵心さん そんなのばっかり食べてません？,反動ですよ
1916,反動ですよ,現役時代に食事制限で 食べられなかった分
1917,現役時代に食事制限で 食べられなかった分,今は こればっか食べちゃうんです
1918,今は こればっか食べちゃうんです,だからって 洗濯 掃除ぐらい
1919,だからって 洗濯 掃除ぐらい,自分でやってくださいよ　もう…
1920,自分でやってくださいよ　もう…,代わりの利く仕事は やらない主義なんで
1921,代わりの利く仕事は やらない主義なんで,てか サッカー以外は やらなくていいって契約でしょ？
1922,てか サッカー以外は やらなくていいって契約でしょ？,ハア…
1923,ハア…,で 順調なんですか？ ブルーロック 一次セレクションは
1924,で 順調なんですか？ ブルーロック 一次セレクションは,うん 順調 順調
1925,うん 順調 順調,まあ 見てろ そろそろスパイスの時間だ
1926,まあ 見てろ そろそろスパイスの時間だ,あっ！
1927,あっ！,はい 潔！　外したから交代
1928,はい 潔！　外したから交代,下手クソが！
1929,下手クソが！,ハッ あのゴールは まぐれだったんだな
1930,ハッ あのゴールは まぐれだったんだな,はいはい 練習続けるよ！
1931,はいはい 練習続けるよ！,ハア ハア…
1932,ハア ハア…,ああ… クソッ
1933,ああ… クソッ,おっしゃ こっち出せ！ もっと速く上がって！
1934,おっしゃ こっち出せ！ もっと速く上がって！,やっぱ みんな 俺より全然うめえよな
1935,やっぱ みんな 俺より全然うめえよな,体力もハンパねえ
1936,体力もハンパねえ,俺の武器は ゴールのにおい…
1937,俺の武器は ゴールのにおい…,空間認識能力だってのは 分かったけど
1938,空間認識能力だってのは 分かったけど,どう使ったらいいのか いまいち分かんないんだよなあ
1939,どう使ったらいいのか いまいち分かんないんだよなあ,お前に俺の何が分かんだよ
1940,お前に俺の何が分かんだよ,千切には いらんこと言って怒られたし
1941,千切には いらんこと言って怒られたし,練習でも みんなの足 引っ張ってるし
1942,練習でも みんなの足 引っ張ってるし,このままじゃダメだな 俺
1943,このままじゃダメだな 俺,まぐれの一発なんかで 終わりたくねえ
1944,まぐれの一発なんかで 終わりたくねえ,やあやあ 才能の原石どもよ
1945,やあやあ 才能の原石どもよ,あっ…
1946,あっ…,やっぱ ソースとマヨネーズって合う～
1947,やっぱ ソースとマヨネーズって合う～,絵心…
1948,絵心…,焼きそば うまそ
1949,焼きそば うまそ,うまそ… うまそ
1950,うまそ… うまそ,ただいま 第６試合までが終了しました
1951,ただいま 第６試合までが終了しました,結果と順位表 はい ド～ン！
1952,結果と順位表 はい ド～ン！,１勝１敗で３チームが並んでる？
1953,１勝１敗で３チームが並んでる？,チームＶ ぶっちぎりじゃん！
1954,チームＶ ぶっちぎりじゃん！,ってことは 次のチームＷ戦で 勝っとかないとヤバいな
1955,ってことは 次のチームＷ戦で 勝っとかないとヤバいな,ここでスパイス
1956,ここでスパイス,これまでの成績とプレーに応じた ブルーロックランキングの
1957,これまでの成績とプレーに応じた ブルーロックランキングの,チーム内順位変動を行いま～す
1958,チーム内順位変動を行いま～す,ストライカーたる者 ゴールで己の価値を証明すべし
1959,ストライカーたる者 ゴールで己の価値を証明すべし,その中でも より価値の高い ゴールを決めた者が上位です
1960,その中でも より価値の高い ゴールを決めた者が上位です,つまり 現在のチームＺの トップランカーは
1961,つまり 現在のチームＺの トップランカーは,お前だ
1962,お前だ,あっ！
1963,あっ！,潔 世一
1964,潔 世一,あっ…
1965,あっ…,俺が… このチームＺのトップランカー？
1966,俺が… このチームＺのトップランカー？,クソが…
1967,クソが…,武器を見つけることが ストライカーの第一条件だ
1968,武器を見つけることが ストライカーの第一条件だ,次のステップは その武器を磨いて伸ばせ
1969,次のステップは その武器を磨いて伸ばせ,突出させろ
1970,突出させろ,例えば アルゼンチンの 世界的ストライカー
1971,例えば アルゼンチンの 世界的ストライカー,リオネル･メッシ
1972,リオネル･メッシ,彼の武器は 独特かつ こまやかで スピーディーなタッチのドリブルと
1973,彼の武器は 独特かつ こまやかで スピーディーなタッチのドリブルと,恐ろしく振りの速い 左足のシュート
1974,恐ろしく振りの速い 左足のシュート,そこにおいて彼は 地球上で最も突出したプレイヤーだ
1975,そこにおいて彼は 地球上で最も突出したプレイヤーだ,故に 彼はトップストライカーに 君臨し続けている
1976,故に 彼はトップストライカーに 君臨し続けている,お前らが持っている武器は それぞれが違う
1977,お前らが持っている武器は それぞれが違う,だから 磨き方も当然 それぞれで違ってくる
1978,だから 磨き方も当然 それぞれで違ってくる,メッシのまねをしたって お前の武器は輝かない
1979,メッシのまねをしたって お前の武器は輝かない,ゼロを１にできる お前だけの武器に
1980,ゼロを１にできる お前だけの武器に,何を掛け算すれば 強力に進化するのか
1981,何を掛け算すれば 強力に進化するのか,お前だけのプレーを見つけ出して 突出させろ
1982,お前だけのプレーを見つけ出して 突出させろ,才能という熱い原石は 磨かなければ自己満足のゴミと化す
1983,才能という熱い原石は 磨かなければ自己満足のゴミと化す,24時間後に試合か
1984,24時間後に試合か,チームＷの試合映像チェックだね
1985,チームＷの試合映像チェックだね,オーケー 今日は ここまでにして 各自 明日に備えよう
1986,オーケー 今日は ここまでにして 各自 明日に備えよう,お疲れ！
1987,お疲れ！,おう！　お疲れ～
1988,おう！　お疲れ～,風呂だ 風呂！ まずメシ メシ！
1989,風呂だ 風呂！ まずメシ メシ！,“突出させろ”か…
1990,“突出させろ”か…,何を どう磨けばいいんだろう？
1991,何を どう磨けばいいんだろう？,そもそも 俺の武器って
1992,そもそも 俺の武器って,ドリブルとか シュート力(りょく)とかと違って
1993,ドリブルとか シュート力(りょく)とかと違って,目に見えた 分かりやすいもんじゃないしな
1994,目に見えた 分かりやすいもんじゃないしな,ゴールのにおいなんて
1995,ゴールのにおいなんて,そのときになってみなきゃ 感じられないもんな
1996,そのときになってみなきゃ 感じられないもんな,あっ！
1997,あっ！,そのときが いつ来るかは分かんないけど
1998,そのときが いつ来るかは分かんないけど,バテたり 反応できなきゃ 意味がない
1999,バテたり 反応できなきゃ 意味がない,そうだ 俺が磨かなきゃいけないのは
2000,そうだ 俺が磨かなきゃいけないのは,そのときに反応するための 90分間 走り続ける肉体だ
2001,そのときに反応するための 90分間 走り続ける肉体だ,絶対勝つ！　突出してやる！
2002,絶対勝つ！　突出してやる！,おいおい 一人だけ 抜け駆けの走り込みかよ
2003,おいおい 一人だけ 抜け駆けの走り込みかよ,あっ…
2004,あっ…,チームＺランキング１位のお前に それ やられたら
2005,チームＺランキング１位のお前に それ やられたら,俺も やらないわけいかないっしょ
2006,俺も やらないわけいかないっしょ,國神…
2007,國神…,ずるいよ 俺も交ぜてよ
2008,ずるいよ 俺も交ぜてよ,蜂楽！
2009,蜂楽！,ありゃ？　自覚ないんだね 潔
2010,ありゃ？　自覚ないんだね 潔,このチームＺは もう…
2011,このチームＺは もう…,お前を中心に回ってる！
2012,お前を中心に回ってる！,お前なんかに 絶対負けねえ！
2013,お前なんかに 絶対負けねえ！,俺も！
2014,俺も！,あ～ クソッ 風呂入りたかったのに
2015,あ～ クソッ 風呂入りたかったのに,明日 絶対勝つよ！
2016,明日 絶対勝つよ！,しゃあ！
2017,しゃあ！,俺が世界一になる！
2018,俺が世界一になる！,潔ばっか目立たせて たまるかっつの！
2019,潔ばっか目立たせて たまるかっつの！,みんな…
2020,みんな…,ついこの間まで 誰も 俺のことなんか知らなかったのに
2021,ついこの間まで 誰も 俺のことなんか知らなかったのに,泣いて消えていくだけの サッカー人生だと思ってたのに
2022,泣いて消えていくだけの サッカー人生だと思ってたのに,今は みんなが俺を追いかけてる
2023,今は みんなが俺を追いかけてる,俺が 一番…
2024,俺が 一番…,俺は ここで生まれ変われる！
2025,俺は ここで生まれ変われる！,下位の人間に ひっくり返されたんだから
2026,下位の人間に ひっくり返されたんだから,燃えないわけないよなあ
2027,燃えないわけないよなあ,一人の突出した存在が 競争のスパイラルを生む
2028,一人の突出した存在が 競争のスパイラルを生む,これがブルーロックだ
2029,これがブルーロックだ,世界一熱い場所にしか
2030,世界一熱い場所にしか,世界一のストライカーは生まれない
2031,世界一のストライカーは生まれない,これも これも これも！
2032,これも これも これも！,全部 ブルーロックの 特注の備品なんだね
2033,全部 ブルーロックの 特注の備品なんだね,なあ 歯ブラシは名前書いとこうよ 誰のか分かんなくなるから
2034,なあ 歯ブラシは名前書いとこうよ 誰のか分かんなくなるから,ほ～い
2035,ほ～い,了解
2036,了解,う～ん…
2037,う～ん…,わあ～ ハハッ できた
2038,わあ～ ハハッ できた,見て見て　これ 俺のね
2039,見て見て　これ 俺のね,イルカのマーク
2040,イルカのマーク,“おれ”って書いてるやつ 俺のだから
2041,“おれ”って書いてるやつ 俺のだから,間違ったら殺すぞ
2042,間違ったら殺すぞ,我牙丸 字 汚(きたね)え！
2043,我牙丸 字 汚(きたね)え！,初めてか？ 初めて文字書いたんか？
2044,初めてか？ 初めて文字書いたんか？,俺 やってけるかなあ… こいつらと
2045,俺たちの次の対戦相手は,チームＷだ
2046,チームＷだ,チームＶに負けて１敗か
2047,チームＶに負けて１敗か,俺たちと同じく 負けたら終わり
2048,俺たちと同じく 負けたら終わり,でも 俺たちが負けた 馬狼(ばろう)たちのチームＸに
2049,でも 俺たちが負けた 馬狼(ばろう)たちのチームＸに,４対１で勝ってる
2050,４対１で勝ってる,格上と見るべきだな
2051,格上と見るべきだな,まあ そもそも俺たち Ｚだもんね
2052,まあ そもそも俺たち Ｚだもんね,どんな作戦 立ててくるんだろう？
2053,どんな作戦 立ててくるんだろう？,とりあえず 今 分かってることといえば
2054,とりあえず 今 分かってることといえば,チームＷのキーマンは この２人
2055,チームＷのキーマンは この２人,鰐間(わにま)兄弟だ
2056,鰐間(わにま)兄弟だ,この双子が得意とするのは コンビネーションプレー
2057,この双子が得意とするのは コンビネーションプレー,馬狼率いるチームＸに勝ったときも この２人で４点決めてる
2058,馬狼率いるチームＸに勝ったときも この２人で４点決めてる,２人の距離感 動きだしのタイミング
2059,２人の距離感 動きだしのタイミング,パス アンド ゴーは
2060,パス アンド ゴーは,注意してても簡単には防げない 強力な武器だ
2061,注意してても簡単には防げない 強力な武器だ,でも こいつらは １人じゃ その武器を使えない
2062,でも こいつらは １人じゃ その武器を使えない,そう　だから分断する
2063,そう　だから分断する,それがチームＷを攻略する鍵だ
2064,それがチームＷを攻略する鍵だ,つか なんで 伊右衛門が仕切ってんだよ
2065,つか なんで 伊右衛門が仕切ってんだよ,こういうの 大体 久遠(くおん)だろ
2066,こういうの 大体 久遠(くおん)だろ,えっ だって… 風呂から 帰ってこないんだもん 久遠
2067,えっ だって… 風呂から 帰ってこないんだもん 久遠,俺が仕切っちゃダメ？
2068,俺が仕切っちゃダメ？,いいよ
2069,いいよ,攻略法 割と まとまってきたし
2070,攻略法 割と まとまってきたし,なっ？　我牙(がが)…
2071,なっ？　我牙(がが)…,つうか あいつ 風呂長(なげ)え～
2072,つうか あいつ 風呂長(なげ)え～,湯あたりで死んでんじゃね？
2073,湯あたりで死んでんじゃね？,ん…
2074,ん…,おかえり 監督
2075,おかえり 監督,ハア… ごめん お待たせ
2076,ハア… ごめん お待たせ,あっ 生きてた
2077,あっ 生きてた,明日の試合の作戦名 考えてたら 遅くなった
2078,明日の試合の作戦名 考えてたら 遅くなった,あ… そっちは どう？
2079,あ… そっちは どう？,今 モニターで分析してたとこ
2080,今 モニターで分析してたとこ,そっか
2081,そっか,マジ のぼせてんじゃん
2082,マジ のぼせてんじゃん,死ぬなよ 10人になっちまうだろ バ～カ
2083,死ぬなよ 10人になっちまうだろ バ～カ,それ 勝てねえじゃん 絶対
2084,それ 勝てねえじゃん 絶対,プハッ…
2085,プハッ…,次の試合は 前の試合の反省を 生かした作戦でいく
2086,次の試合は 前の試合の反省を 生かした作戦でいく,“次俺ナイン”作戦は
2087,“次俺ナイン”作戦は,１人の武器を10分間しか 使えないから 連動性が薄くて
2088,１人の武器を10分間しか 使えないから 連動性が薄くて,通用しない時間帯が もったいなかった
2089,通用しない時間帯が もったいなかった,だから 今回は
2090,だから 今回は,相性のいい武器を持った３人が スリートップを組み 30分間ずつ
2091,相性のいい武器を持った３人が スリートップを組み 30分間ずつ,３回のフォーメーションチェンジで 回していく
2092,３回のフォーメーションチェンジで 回していく,これが スリートップ掛ける３回で行う⸺
2093,これが スリートップ掛ける３回で行う⸺,全員が輝くための新作戦
2094,全員が輝くための新作戦,その名も “３×３(サザン)オールスター”作戦！
2095,その名も “３×３(サザン)オールスター”作戦！,いや ダサッ！ さんざん考えて それかよ
2096,いや ダサッ！ さんざん考えて それかよ,ネーミングセンス 壊滅的！
2097,ネーミングセンス 壊滅的！,ぐっ…
2098,ぐっ…,俺は いいと思う
2099,俺は いいと思う,俺 サザン 好きだし “エロティカ･セブン”とか
2100,俺 サザン 好きだし “エロティカ･セブン”とか,我牙丸 分かってくれるか！
2101,我牙丸 分かってくれるか！,つうかさ 俺は ずっと ゴールキーパー固定なのか？
2102,つうかさ 俺は ずっと ゴールキーパー固定なのか？,しゃあねえだろ？　勝ってんだから
2103,しゃあねえだろ？　勝ってんだから,今更 何言ってんだ？
2104,今更 何言ってんだ？,俺は感謝してるよ 一応
2105,俺は感謝してるよ 一応,潔… ありがとう
2106,潔… ありがとう,千切(ちぎり)は？
2107,千切(ちぎり)は？,いいの？　ずっとディフェンダーで
2108,いいの？　ずっとディフェンダーで,人の心配する暇あんなら 自分がゴール決めること考えろよ
2109,人の心配する暇あんなら 自分がゴール決めること考えろよ,あ… ごめん
2110,あ… ごめん,よし！ 相手チームの研究もできたし
2111,よし！ 相手チームの研究もできたし,チームもまとまってきた
2112,チームもまとまってきた,勝つぞ チームＺ！
2113,勝つぞ チームＺ！,おおっ！
2114,おおっ！,しゃあ 勝つぞ！
2115,しゃあ 勝つぞ！,そうだな 負けたら終わるんだ
2116,そうだな 負けたら終わるんだ,勝つ… 絶対！
2117,勝つ… 絶対！,ヘヘヘ…
2118,ヘヘヘ…,ハハハハッ
2119,ハハハハッ,いくぜ おにい！ いつ パス欲しい？
2120,いくぜ おにい！ いつ パス欲しい？,どんなパス欲しい？　ねえねえ！
2121,どんなパス欲しい？　ねえねえ！,なるほど　御意！ 御意 御意！
2122,なるほど　御意！ 御意 御意！,このタイミングで 足元へのパスが欲しい
2123,このタイミングで 足元へのパスが欲しい,と… おにいは言ってる！
2124,と… おにいは言ってる！,南無三(なむさん)！
2125,南無三(なむさん)！,…からの ワンツー！ あっ！
2126,…からの ワンツー！ あっ！,と… おにいは言ってる
2127,と… おにいは言ってる,なんじゃ こいつら！ 誰か止めろ！
2128,なんじゃ こいつら！ 誰か止めろ！,最初の30分
2129,最初の30分,俺は最終ラインの 右センターバック
2130,俺は最終ラインの 右センターバック,やることは明確だ
2131,やることは明確だ,まず あの２人の コンビネーションを
2132,まず あの２人の コンビネーションを,全員で食い止め…
2133,全員で食い止め…,はっ？
2134,はっ？,全然止まんないじゃん！ 映像で対策はしてたのに
2135,全然止まんないじゃん！ 映像で対策はしてたのに,俺たちの武器はアイコンタクト
2136,俺たちの武器はアイコンタクト,付け焼き刃のディフェンスで 看破できるほど甘くないぜ！
2137,付け焼き刃のディフェンスで 看破できるほど甘くないぜ！,と… おにいは深く思ってる
2138,と… おにいは深く思ってる,来るぞ 千切！ 俺たちで止める！
2139,来るぞ 千切！ 俺たちで止める！,千切？
2140,千切？,千切って あのガラスの天才君か？
2141,千切って あのガラスの天才君か？,おい おにい こいつ まだサッカーやってるよ
2142,おい おにい こいつ まだサッカーやってるよ,よっぽど自分の過去の栄光が 忘れられないんだろうなあ
2143,よっぽど自分の過去の栄光が 忘れられないんだろうなあ,うんうん そだね
2144,うんうん そだね,元チームメイトとして 言わしてもらえば…
2145,元チームメイトとして 言わしてもらえば…,もう お前は終わった選手なんだよ
2146,もう お前は終わった選手なんだよ,と… おにいは言ってる
2147,と… おにいは言ってる,くっ…
2148,くっ…,おいおい いいのか？
2149,おいおい いいのか？,走ったら また ぶっ壊れるぞ ガラスの足が！
2150,走ったら また ぶっ壊れるぞ ガラスの足が！,ぶへっ！
2151,ぶへっ！,ざけんな てめえ！ ファウルだろ 今の！
2152,ざけんな てめえ！ ファウルだろ 今の！,ＶＡＲさんよお！
2153,ＶＡＲさんよお！,と… おにいは怒ってる
2154,と… おにいは怒ってる,ファウル覚悟だよ おしゃべり変人兄弟
2155,ファウル覚悟だよ おしゃべり変人兄弟,プレー続行だから ファウルじゃねえし！
2156,プレー続行だから ファウルじゃねえし！,ナイスパス 潔！
2157,ナイスパス 潔！,つうか こいつらの言うことなんか 相手にすんな 千切
2158,つうか こいつらの言うことなんか 相手にすんな 千切,過去のことなんて どうだっていいんだよ
2159,過去のことなんて どうだっていいんだよ,俺にとってのお前は チームＺの千切豹馬(ひょうま)だ！
2160,俺にとってのお前は チームＺの千切豹馬(ひょうま)だ！,うるせえよ おせっかい 俺に構うなっつったろ
2161,うるせえよ おせっかい 俺に構うなっつったろ,別に… お前のために言ってんじゃねえよ
2162,別に… お前のために言ってんじゃねえよ,うう…
2163,うう…,うっ…
2164,うっ…,お前みたいに 誇れる過去なんてないけど
2165,お前みたいに 誇れる過去なんてないけど,俺は サッカーを諦めたくなくて ここに来たんだ
2166,俺は サッカーを諦めたくなくて ここに来たんだ,人生 変えるために ブルーロックにいるんだ
2167,人生 変えるために ブルーロックにいるんだ,お前の過去も ケガのことも よく分かんないけど
2168,お前の過去も ケガのことも よく分かんないけど,俺たちはストライカーだ！
2169,俺たちはストライカーだ！,悔しいのも 苦しいのも 何もかも
2170,悔しいのも 苦しいのも 何もかも,ゴール一撃(いちげき)で生まれ変われる
2171,ゴール一撃(いちげき)で生まれ変われる,しゃあ～！
2172,しゃあ～！,よっしゃあ！
2173,よっしゃあ！,過去なんか どうでもいい
2174,過去なんか どうでもいい,俺が見たいのは お前の今だ！
2175,俺が見たいのは お前の今だ！,俺たちは泣いて諦めるために ここにいるわけじゃないだろ
2176,俺たちは泣いて諦めるために ここにいるわけじゃないだろ,うおおおい！
2177,うおおおい！,ディフェンス陣 ちゃんと止めろ バカ！
2178,ディフェンス陣 ちゃんと止めろ バカ！,と… おにいは言ってる
2179,と… おにいは言ってる,すまん オーケー
2180,すまん オーケー,しまっていこう！
2181,しまっていこう！,いくよ おにい
2182,いくよ おにい,俺たちで崩せば 余裕で勝てるし
2183,俺たちで崩せば 余裕で勝てるし,ちょ… おにい
2184,ちょ… おにい,やめろよ そうやって すぐ顔に出す癖！
2185,やめろよ そうやって すぐ顔に出す癖！,つうか おにい 横から来てる！
2186,つうか おにい 横から来てる！,集中してないよ こいつ
2187,集中してないよ こいつ,うらあ！
2188,うらあ！,いただき！
2189,いただき！,うっ…
2190,うっ…,だから言ったろ！ おにいのアホ～！
2191,だから言ったろ！ おにいのアホ～！,ターゲットマンは…
2192,ターゲットマンは…,久遠ちゃんだね
2193,久遠ちゃんだね,君の武器のジャンプ力(りょく)なら 届くっしょ？
2194,君の武器のジャンプ力(りょく)なら 届くっしょ？,ふっ！
2195,ふっ！,おっ！　そっから打っちゃう？
2196,おっ！　そっから打っちゃう？,ううっ！
2197,ううっ！,あっ…
2198,あっ…,ああ？
2199,ああ？,しゃあ～！
2200,しゃあ～！,久遠 お前 またかよ！ キーパー 反応できてねえ！
2201,久遠 お前 またかよ！ キーパー 反応できてねえ！,ずりいぞ お前ばっかし
