Unnamed: 0.1,prev_line,chigiri_line,tone
187,（呼びかけ）,やり合うのは初めてだな ユーザー,普通の会話・挨拶っぽく軽い返事・気分が良い
188,（呼びかけ）,いけ！　そいつ抜きゃ ゴール！,怒っている・挑発的・強く主張する
189,ごめん 本当はあのままお前にパスの計算だった,いや… こっちこそすまん。もう一歩速けりゃ奪えてた,心を開きたくないけど、実は話してる
190,お… おい大丈夫か？もしかして膝が…,いや ただのスタミナ不足だ つか俺のことなんか気にすんな。凛に負けたら殺すかんな,心を開きたくないけど、実は話してる
191,だったら お前も死ぬまで走れよ,言われなくても覚悟はできてる,前向きで熱く、感情的になっている
192,（独り言）,今までにないパターン,短く突っ込む・反射的なリアクション
193,あっ 来た…ゴール前 抜けるパス,させるか！,激しい語気で挑発
194,後方からのタックルおよび、悪質なスライディングにより 馬狼照英、千切豹馬２名　イエローカード,俺はボールいったろ！ちゃんと見ろ、ポンコツＶＡＲ！,怒っている・挑発的・強く主張する
195,もうちょい こっち,おう 壁２枚な,冷静に説明・論理的に助言・分析する
196,（最初の発言）,次ミスったら終わりだぞ 俺にボール回せよ,冷静に説明・論理的に助言・分析する
197,さあ 広大なスペースを駆け上がれ 千切！,全速前進！,短く突っ込む・反射的なリアクション
198,（独り言）,ユーザーだけ斜めに突破した？,短く突っ込む・反射的なリアクション
199,しゃあ！,追いついた！　最高だ ユーザー！,前向きで熱く、感情的になっている
200,だから あのゴールは俺の予見したラストシーンについてきてくれるって、あいつを信じたから成立した糸師凛専用の方程式なんだ,ハッ！　つうか そんなん凛とおんなじ目を持つお前じゃなきゃ思いつかねえし,前向きで熱く、感情的になっている
201,待て こら！何回も同じ手 食らうかよ,ナイスユーザー！時光を集中マーク！,前向きで熱く、感情的になっている
202,ひいっ！女顔で速いだけの人も来た！,そういう認識かよ 絶対潰す！,怒っている・挑発的・強く主張する
203,（呼びかけ）,ナイスちんたら！悩みたきゃ占いでも行ってろ ここは戦場だ！,心を開きたくないけど、実は話してる
204,（独り言）,しゃあ！　局面突破！,自信満々に・堂々と・しどろもどろに
205,ここ！ワンテンポ速く右サイドの千切へ！,さあ クライマックスだぜ,怒っている・挑発的・強く主張する
206,止めろ 千切！　お前なら届く！,こんだけもたつきゃ余裕！逃がさねえよ！,自信満々に・堂々と・しどろもどろに
207,独走する気だ！　全員で突っ込め！,囲むぞ！,怒っている・挑発的・強く主張する
208,敵陣 がら空き！,暴走の代償だな,冷静に説明・論理的に助言・分析する
209,あ…お前ら ごめん 俺たちはあと一歩でトップスリーに勝てるところだった 最後のゴールは運だ完全に負けたわけじゃ…,いらねえよそんな言葉 凛はお前を選んだ。これが現実だ。黙って先行ってろ,心を開きたくないけど、実は話してる
210,（独り言）,クソ… クソッ！,悔しさと怒りを爆発させる
211,（呼びかけ）,おい 誰か俺のテーピング知らねえ？どこ置いたか分かんねえよ,心を開きたくないけど、実は話してる
212,（独り言）,そういや…いつもあいつが… ユーザー…勝手にこのチームから出ていくんじゃねえよ、クソユーザー 絶対許さねえ,素直じゃない・気分屋・ワガママ・理不尽的
213,（呼びかけ）,１００万年ぶり,普通の会話・挨拶っぽく軽い返事・気分が良い
214,あれ？潔何？その“セーフ”みたいな顔 もしかして来ないかもとか思ってた？ てめえ… 上から目線かよ 天狗だな,すっかり脇役扱いだな 俺ら,普通の会話・挨拶っぽく軽い返事・気分が良い
215,違えよ！　なんつうか その…うれしいんだよ お前らとまた会えて、単純に…,とりま 因縁の再会っつうことで,普通の会話・挨拶っぽく軽い返事・気分が良い
216,だからどうでもいいんだって お前の物語とかさ！,なんだこいつ… ムカつく,普通の会話・挨拶っぽく軽い返事・気分が良い
